state,x,y
Acre,-306,97
Alagoas,308,57
Amapá,34,277
Amazonas,-213,180
Bahia,185,24
Ceará,247,142
Distrito Federal,96,-29
Espírito Santo,218,-115
Goiás,46,-47
Maranhão,145,156
Mato Grosso,-49,30
Mato Grosso Do Sul,-38,-105
Minas Gerais,129,-86
Pará,-7,174
Paraíba,292,106
Paraná,6,-185
Pernambuco,258,87
Piauí,170,98
Rio De Janeiro,161,-158
Rio Grande Do Norte,301,132
Rio Grande Do Sul,-36,-269
Rondônia,-172,60
Roraima,-138,293
Santa Catarina,33,-232
São Paulo,49,-142
Sergipe,283,39
Tocantins,89,62
